"acena","ACENA MOTOR SL","B80048329"
"aeat_madrid","Agencia Tributaria Madrid",""
"aena_aerop","AENA Aeropuertos S.A","A86212420"
"AFIM_Fund","Fundacion AFIM","G80148034"
"aireuropa","Air Europa Líneas Aéreas, S.A.U.","A07129430"
"allianz","Allianz, Compañía de Seguros y Reaseguros, S.A.","A28007748"
"alumfer","Aluminios y hierros Fernando","11763500N"
"amazon_es","Amazon EU S.A r.l. Sucursal en España","ESW0184081H"
"antenas-villalba","Antenas Villalba SL","B81289845"
"apascovi","Fundación APASCOVI","G82380478"
"assla","ASSLA","B82825837"
"ayto-madrid","Ayuntamiento de Madrid","P2807900B"
"cablematic","Cablematic Dos Mil S.L.U","B62231261"
"cachinero","Ferreteria Gomez Cachinero S.L","B82660085"
"cdmon","10DENCEHISPAHARD, S.L.","B62844725 "
"comercial_express","Innova Servybel S.L","B45753902"
"condor","CONDOR FLUGDIENST GMBH","N0041005J"
"correos","Correos","A83052407"
"dhl","DHL EXPRESS MADRID SPAIN, S.L","B28778165"
"eion","EION Wireless Inc.","870048014RM0003"
"Fujitsu","FUJITSU TECHNOLOGY SOLUTIONS, S.A.","ESA28472819"
"esprinet","Esprinet Iberica SLU","B84443985"
"farnell_es","Farnell Components S.L.","B82229907"
"fixami","HBL Online B.V.","NL8556.20.201.B01"
"fnmt","Fabrica Nacional de Moneda y Timbre","ESQ2826004J"
"fs.com","FS.com GMBH","DE313377831"
"fundacion-mhg","Fundación MHG","G85310092"
"grupoacre","Acre Soluciones Topográficas Alquiler y venta SL","B45462629"
"gti","GTI Software y Networking, S.A.","A78098308"
"hiper_ruiz","Hiperconstruccion Ruiz","B80895766"
"hmategui","Hierros Mategui","A28799229"
"Horatagas_villalba","Comercial HORTAGAS S.L","B78636644"
"ibersystem","Ibersystem S.A.","A50354430"
"imporcalor","Imporcalor SL","B40231334"
"IngrMicro","Ingram Micro SL","B78076395"
"jimdo","Jimdo GmbH (Alemania)","DE814864138"
"kalamazoo","Staples Productos de Oficina","B28279511"
"larocha","Suministros integrales La Rocha SL","B84213362"
"ldlc","GROUPE LDLC ESPAÑA SL","B88071899"
"LeroyM_Rozas","Leroy Merlin","B84818442"
"lineadirecta","Linea Directa Aseguradora","A80871031"
"maderas-marbella","Maderas Marbella Centro SL","B81066383"
"mercadoactual","Mercado Actual y Servicios Logísticos S.L. ","B85166171"
"minicircuits-europa","Minicirtuits Europa","GB347242950"
"mouser","Mouser Electronics Inc.","FR 27512466913"
"nirint","Nirint Iberia SL","B95065132"
"Notaria_Galapagar","José Alberto López Gomez","03831691Y"
"Notaria_Villalba","Notario Daniel Agundez Leal","05348143E"
"openbank","OPEN BANK S.A.","A28021079"
"ovh_hispano","OVH HISPANO S.L.U","B83834747"
"pccomponentes","PC Componentes y Multimedia SL","B73347494"
"peysanet","Peysanet C.B","E16309916"
"promed","PROMED S.L","B85774560"
"racomax","Racomax","824266639 RT0001"
"registradores","Registradores Mercantiles de Madrid C.B","E81458556"
"rs_online_es","Amidata S.A.U","A78913993"
"s-copy-galap","INIESTA COPY S.L.U","B86504842"
"satinfo","SATINFO. S.L. SERVICIO ASISTENCIA TECNICA INFORMATICA","B60310356"
"senetic","Senetic España SL","B86790508"
"silex","SILEX GLOBAL SPAIN, S.L.","ESB87139580"
"soforo","Soforo Transfer SL","B87355251"
"soluciona","Soluciona Sistemas SL","B65299059"
"taxi-guadarrama","Taxi Guadarrama","410867H"
"techdata","TECH DATA España, S.L.U.","B58728585"
"tecnitran","Tecnitran Telecomunicaciones","B80615644"
"telefonica","Telefonica Moviles España S.A","A78923125"
"tempel","Tempel Group","A08526345"
"ticsa","Transacciones e inversiones comerciales SA","A78600269"
"tme_eu","Transfer Multisort Elektronik S.L.U","B86824695"
"uniteco","Uniteco Profesional Correduría de Seguros","B79325395"
"viajes-representaciones","VIAJES Y REPRESENTACIONES S.L.","B85172948"
"vintegris","Vintegris S.L","B62913926"
"wiltec","WilTec Wildanger Technik GmbH","DE45283704"
